"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Slovakia","Slovakia","0",2019-12-30,2020-01-05,7,2020,"1",5460726,1147,0,1154.54751872659,-7.54751872659358,1147,0,-0.138214565729787,-0.00653720925659096
"Slovakia","Slovakia","0",2020-01-06,2020-01-12,7,2020,"2",5460726,1109,0,1147.38085205992,-38.3808520599164,1109,0,-0.702852552204897,-0.0334508389180544
"Slovakia","Slovakia","0",2020-01-13,2020-01-19,7,2020,"3",5460726,1086,0,1178.71418539325,-92.7141853932499,1086,0,-1.69783624729111,-0.0786570540527753
"Slovakia","Slovakia","0",2020-01-20,2020-01-26,7,2020,"4",5460726,1107,0,1149.21418539325,-42.2141853932499,1107,0,-0.773050788361289,-0.0367330876435402
"Slovakia","Slovakia","0",2020-01-27,2020-02-02,7,2020,"5",5460726,1159,0,1208.38085205992,-49.3808520599168,1159,0,-0.9042909690015,-0.040865304987031
"Slovakia","Slovakia","0",2020-02-03,2020-02-09,7,2020,"6",5460726,1101,0,1175.71418539325,-74.7141853932496,1101,0,-1.3682097470785,-0.0635479152343981
"Slovakia","Slovakia","0",2020-02-10,2020-02-16,7,2020,"7",5460726,1181,0,1184.88085205992,-3.88085205991683,1181,0,-0.0710684267974045,-0.00327530996316627
"Slovakia","Slovakia","0",2020-02-17,2020-02-23,7,2020,"8",5460726,1088,0,1170.71418539325,-82.7141853932501,1088,0,-1.51471041383966,-0.0706527574580177
"Slovakia","Slovakia","0",2020-02-24,2020-03-01,7,2020,"9",5460726,1152,0,1188.8570224719,-36.857022471899,1152,0,-0.67494729587053,-0.0310020648195903
"Slovakia","Slovakia","0",2020-03-02,2020-03-08,7,2020,"10",5460726,1131,0,1143.6570224719,-12.6570224718992,1131,0,-0.231782778918026,-0.0110671488245159
"Slovakia","Slovakia","0",2020-03-09,2020-03-15,7,2020,"11",5460726,1122,0,1099.0570224719,22.9429775281003,1122,0,0.420145188169124,0.0208751475665012
